pokedex_number|pokedex_number_form|name|hp|attack|defense|sp_attack|sp_defense|speed|base_total|base_average|ability_1|ability_2|hidden_ability|type_1|type_2|japanese_name|catch_rate|base_friendship_old|base_friendship|exp_100|category|height_m|weight_kg|hatch_cycles
1|1|Bulbasaur|45|49|49|65|65|45|318|53|Overgrow||Chlorophyll|Grass|Poison|Fushigidaneフシギダネ|45|70|50|1059860|Seed Pokémon|0.7|6.9|20
2|2|Ivysaur|60|62|63|80|80|60|405|67.5|Overgrow||Chlorophyll|Grass|Poison|Fushigisouフシギソウ|45|70|50|1059860|Seed Pokémon|1|13|20
3|3|Venusaur|80|82|83|100|100|80|525|87.5|Overgrow||Chlorophyll|Grass|Poison|Fushigibanaフシギバナ|45|70|50|1059860|Seed Pokémon|2|100|20
3|003M|Venusaur (Mega Venusaur)|80|100|123|122|120|80|625|104.17|Thick Fat|||Grass|Poison|MegaFushigibanaメガフシギバナ|45|70|50|1059860|Seed Pokémon|2.4|155.5|20
4|4|Charmander|39|52|43|60|50|65|309|51.5|Blaze||Solar Power|Fire||Hitokageヒトカゲ|45|70|50|1059860|Lizard Pokémon|0.6|8.5|20
5|5|Charmeleon|58|64|58|80|65|80|405|67.5|Blaze||Solar Power|Fire||Lizardoリザード|45|70|50|1059860|Flame Pokémon|1.1|19|20
6|6|Charizard|78|84|78|109|85|100|534|89|Blaze||Solar Power|Fire|Flying|Lizardonリザードン|45|70|50|1059860|Flame Pokémon|1.7|90.5|20
6|006MX|Charizard (Mega Charizard X)|78|130|111|130|85|100|634|105.67|Tough Claws|||Fire|Dragon|MegaLizardon XメガリザードンX|45|70|50|1059860|Flame Pokémon|1.7|110.5|20
6|006MY|Charizard (Mega Charizard Y)|78|104|78|159|115|100|634|105.67|Drought|||Fire|Flying|MegaLizardon YメガリザードンY|45|70|50|1059860|Flame Pokémon|1.7|100.5|20
7|7|Squirtle|44|48|65|50|64|43|314|52.33|Torrent||Rain Dish|Water||Zenigameゼニガメ|45|70|50|1059860|Tiny Turtle Pokémon|0.5|9|20
8|8|Wartortle|59|63|80|65|80|58|405|67.5|Torrent||Rain Dish|Water||Kameilカメール|45|70|50|1059860|Turtle Pokémon|1|22.5|20
9|9|Blastoise|79|83|100|85|105|78|530|88.33|Torrent||Rain Dish|Water||Kamexカメックス|45|70|50|1059860|Shellfish Pokémon|1.6|85.5|20
9|009M|Blastoise (Mega Blastoise)|79|103|120|135|115|78|630|105|Mega Launcher|||Water||MegaKamexメガカメックス|45|70|50|1059860|Shellfish Pokémon|1.6|101.1|20
10|10|Caterpie|45|30|35|20|20|45|195|32.5|Shield Dust||Run Away|Bug||Caterpieキャタピー|255|70|50|1000000|Worm Pokémon|0.3|2.9|15
11|11|Metapod|50|20|55|25|25|30|205|34.17|Shed Skin|||Bug||Transelトランセル|120|70|50|1000000|Cocoon Pokémon|0.7|9.9|15
12|12|Butterfree|60|45|50|90|80|70|395|65.83|Compound Eyes||Tinted Lens|Bug|Flying|Butterfreeバタフリー|45|70|50|1000000|Butterfly Pokémon|1.1|32|15
13|13|Weedle|40|35|30|20|20|50|195|32.5|Shield Dust||Run Away|Bug|Poison|Beedleビードル|255|70|50|1000000|Hairy Bug Pokémon|0.3|3.2|15
14|14|Kakuna|45|25|50|25|25|35|205|34.17|Shed Skin|||Bug|Poison|Cocoonコクーン|120|70|50|1000000|Cocoon Pokémon|0.6|10|15
15|15|Beedrill|65|90|40|45|80|75|395|65.83|Swarm||Sniper|Bug|Poison|Spearスピアー|45|70|50|1000000|Poison Bee Pokémon|1|29.5|15
15|015M|Beedrill (Mega Beedrill)|65|150|40|15|80|145|495|82.5|Adaptability|||Bug|Poison|MegaSpearメガスピアー|45|70|50|1000000|Poison Bee Pokémon|1.4|40.5|15
16|16|Pidgey|40|45|40|35|35|56|251|41.83|Keen Eye|Tangled Feet|Big Pecks|Normal|Flying|Poppoポッポ|255|70|50|1059860|Tiny Bird Pokémon|0.3|1.8|15
17|17|Pidgeotto|63|60|55|50|50|71|349|58.17|Keen Eye|Tangled Feet|Big Pecks|Normal|Flying|Pigeonピジョン|120|70|50|1059860|Bird Pokémon|1.1|30|15
18|18|Pidgeot|83|80|75|70|70|101|479|79.83|Keen Eye|Tangled Feet|Big Pecks|Normal|Flying|Pigeotピジョット|45|70|50|1059860|Bird Pokémon|1.5|39.5|15
18|018M|Pidgeot (Mega Pidgeot)|83|80|80|135|80|121|579|96.5|No Guard|||Normal|Flying|MegaPigeotメガピジョット|45|70|50|1059860|Bird Pokémon|2.2|50.5|15
19|19|Rattata|30|56|35|25|35|72|253|42.17|Run Away|Guts|Hustle|Normal||Korattaコラッタ|255|70|50|1000000|Mouse Pokémon|0.3|3.5|15
